Date,StockCode,ATC,Floor,MainIndex,PSGD
2023-04-28,TCD,8.5,HOSE,NULL,CHIU
2023-04-28,APS,13.2,HNX,NULL,CHIU
2023-04-28,SKG,18.6,HOSE,NULL,CHIU
2023-04-28,PVC,15.7,HNX,HNX30,CHIU
2023-04-28,IBC,2.63,HOSE,NULL,CHIU
2023-04-28,ASM,8.55,HOSE,NULL,CHIU
2023-04-28,TYA,11.3,HOSE,NULL,CHIU
2023-04-28,HBC,8.17,HOSE,NULL,CHIU
2023-04-28,CTS,16.6,HOSE,NULL,CHIU
2023-04-28,HCM,24.95,HOSE,NULL,CHIU
2023-04-28,TJC,14.0,HNX,NULL,CHIU
2023-04-28,HDG,33.7,HOSE,NULL,CHIU
2023-04-28,LGL,3.19,HOSE,NULL,CHIU
2023-04-28,CRC,4.75,HOSE,NULL,CHIU
2023-04-28,NFC,13.3,HNX,NULL,CHIU
2023-04-28,VOS,10.7,HOSE,NULL,CHIU
2023-04-28,NSH,4.4,HNX,NULL,CHIU
2023-04-28,HAT,26.6,HNX,NULL,CHIU
2023-04-28,KDC,63.9,HOSE,NULL,CHIU
2023-04-28,INN,38.0,HNX,NULL,CHIU
2023-04-28,STK,28.7,HOSE,NULL,CHIU
2023-04-28,QST,9.2,HNX,NULL,CHIU
2023-04-28,VNG,8.82,HOSE,NULL,CHIU
2023-04-28,PHC,5.8,HOSE,NULL,CHIU
2023-04-28,SJD,14.5,HOSE,NULL,CHIU
2023-04-28,HTV,9.91,HOSE,NULL,CHIU
2023-04-28,PPC,15.35,HOSE,NULL,CHIU
2023-04-28,HAG,7.62,HOSE,NULL,CHIU
2023-04-28,BID,43.5,HOSE,VN30,CHIU
2023-04-28,ITA,4.03,HOSE,NULL,CHIU
